time,average_part_size,mass_of_pm1,mass_of_pm2,mass_of_pm4,mass_of_pm10,number_of_pm0,number_of_pm1,number_of_pm2,number_of_pm4,number_of_pm10,pressure,temperature,board_temperature,humidity,wind_speed
2021-12-30T16:00:00Z,0.56,28.92,32.6,34.2,35.09,193.69,227.89,230.64,231.11,231.26,1001.58,6.8,8.65,73,0.41
2021-12-30T17:00:00Z,0.46,37.52,39.67,39.67,39.67,257.81,298.6,299.43,299.52,299.58,1002.4,5.9,6.96,79,0.9
2021-12-30T18:00:00Z,0.49,27.25,30.41,31.68,32.38,183.22,215.03,217.3,217.69,217.81,1003.01,5,6.03,83,1.01
2021-12-30T19:00:00Z,0.51,35.81,38.51,39.03,39.31,244.43,284.25,285.72,285.93,286.02,1003.82,4.8,5.8,85,1.28
2021-12-30T20:00:00Z,0.48,33.44,36.14,36.76,37.1,227.81,265.23,266.79,267.02,267.11,1004.13,3.9,5.06,83,1.11
2021-12-30T21:00:00Z,0.44,24.3,25.69,25.69,25.69,166.95,193.37,193.91,193.96,194,1004.33,3.7,4.48,79,0.89
2021-12-30T22:00:00Z,0.53,39.63,44.46,46.5,47.62,265.86,312.44,316,316.61,316.79,1004.65,2.8,3.7,78,0.79
2021-12-30T23:00:00Z,0.51,39.4,43.83,45.56,46.51,265.26,311.06,314.21,314.73,314.9,1004.62,3.2,3.82,79,1.29
2021-12-31T00:00:00Z,0.47,39.53,43.25,44.4,45.03,268.02,312.98,315.37,315.75,315.89,1004.18,2.7,3.53,79,1.33
2021-12-31T01:00:00Z,0.45,32.82,34.7,34.7,34.7,225.51,261.19,261.92,261.99,262.04,1004.02,2.7,3.4,80,1.7
2021-12-31T02:00:00Z,0.43,42.02,44.43,44.43,44.43,288.71,334.39,335.33,335.42,335.49,1004.09,2.9,3.62,80,1.09
2021-12-31T03:00:00Z,0.59,38.03,42.9,45.04,46.22,254.53,299.55,303.21,303.84,304.03,1004.07,2.5,3.21,80,1.19
2021-12-31T04:00:00Z,0.49,37.75,41.15,42.13,42.67,256.28,299,301.13,301.46,301.58,1003.73,1.5,2.61,84,1.07
2021-12-31T05:00:00Z,0.54,34.43,38.98,41.03,42.16,230.1,271.05,274.51,275.11,275.29,1003.53,1.7,2.61,80,1.07
2021-12-31T06:00:00Z,0.47,37.09,39.81,40.29,40.55,253.36,294.5,295.95,296.15,296.24,1003.73,1.3,2.04,80,1.29
2021-12-31T07:00:00Z,0.46,36.2,38.28,38.28,38.28,248.74,288.1,288.9,288.98,289.04,1003.95,1.3,1.89,76,1.59
2021-12-31T08:00:00Z,0.45,32.52,34.39,34.39,34.39,223.44,258.8,259.52,259.59,259.65,1004.43,1.6,2.18,75,1.81
2021-12-31T09:00:00Z,0.43,29.54,31.24,31.24,31.24,202.99,235.11,235.77,235.83,235.88,1004.73,4.1,4.96,72,2.02
2021-12-31T10:00:00Z,0.51,31.42,35.42,37.18,38.15,210.32,247.49,250.5,251.02,251.17,1005.07,8.6,10.17,61,1.19
2021-12-31T11:00:00Z,0.42,26.6,28.13,28.13,28.13,182.77,211.69,212.28,212.34,212.38,1004.82,14.4,18.51,42,1.02
2021-12-31T12:00:00Z,0.39,24.37,25.78,25.78,25.78,167.49,193.99,194.53,194.59,194.63,1004.61,16.5,22.01,36,1.38
2021-12-31T13:00:00Z,0.53,28.16,32.64,34.91,36.16,186.34,220.87,224.49,225.13,225.31,1004.01,19,24.52,32,1.32
